Name,Link,Category,Series,LatestChapter,FileName,Status,ChatId,ResolvedSource
"Return of the Sword God-Rank Civil Servant | The Civil Servant of the Sword Returns","https://t.me/Return_of_the_sword_god_rank_civ","manwha","Return of the Sword God-Rank C","95","[095] [MW] Return of the Sword God-Rank C [@Manhwa_Weebs].pdf","Success","",""
"+99 Reinforced Wooden Stick Mamhwa","https://t.me/Manhw_99_Reinforced_Wooden_Stick","manwha","+99 Reinforced Wooden Stick","203","Ch - 203 +99 Reinforced Wooden Stick @Manga_Universe.pdf","Success","",""
"The Heavenly Demon Wants a Quiet Life","https://t.me/The_Heavenly_Demon_Wants_A_Quiet","manwha","The Heavenly Demon Wants a Qui","87","[087] [MW] The Heavenly Demon Wants a Qui [@Manhwa_Weebs].pdf","Success","",""
"Sword God's Livestream","https://t.me/Sword_Gods_Livestream","manwha","Sword Gods Livestream","26","[026] [MW] Sword Gods Livestream [@Manhwa_Weebs].pdf","Success","",""
"Wandering Warrior of Wudang","","manwha","","170","","Resolved from saved messages","1787282341","saved-message"
"My Disciples Are All Big Villains","https://t.me/My_Disciples_Are_All_Big_Villai","manwha","My Disciples Are All Big Villains","533","[533] My Disciples Are All Big Villains @ManhwaXGarden.pdf","Success","",""
"Reincarnator MANHWA","https://t.me/Reincarnator_manhwa","manwha","Reincarnator","142","[142] Reincarnator @ManhwaXGarden.pdf","Success","",""
"Absolute Sword Sense","https://t.me/Absolute_Sword_Sense_1","manwha","Absolute Sword Sense","192","[192] Absolute Sword Sense @ManhwaXGarden.pdf","Success","",""
"The Heavenly Demon Can't Live A Normal Life","https://t.me/The_Heavenly_Demon_Cant_Li","manwha","Reincarnation of Dark Master","209","[209] Reincarnation of Dark Master @ManhwaXGarden.pdf","Success","",""
"Absolute Regression","https://t.me/Absolute_Regression","manwha","Absolute Regression","110","[110] Absolute Regression @ManhwaXGarden.pdf","Success","",""
"The Regressed Mercenary's Machinations","https://t.me/The_Regressed_Mercenarys_Machina","manwha","The Regressed Mercenary","97","[097] The Regressed Mercenary @ManhwaXGarden.pdf","Success","",""
"Martial God Regressed to Level 2","https://t.me/Martial_God_Regressed_to_Lev","manwha","Martial God Regressed to Level 2","124","[124] Martial God Regressed to Level 2 @ManhwaXGarden.pdf","Success","",""
"Crimson Reset Manhwa","https://t.me/Crimson_Reset_1","manwha","Crimson Reset","51","[051] [MW] Crimson Reset [@Manhwa_Weebs].pdf","Success","",""
"Jungle Juice","https://t.me/Jungle_Juice_Manhwa_W","manwha","Jungle Juice","215","[215] [MW] Jungle Juice [@Manhwa_Weebs].pdf","Success","",""
"Artifact-Devouring Player Manhwa","https://t.me/Artifact_Devouring_Player_Manhwa","manwha","Artifact-Devouring Player","49","[049] [MW] Artifact-Devouring Player [@Manhwa_Weebs].pdf","Success","",""
"I'm Gonna Annihilate This Land","https://t.me/I_m_Going_to_Destroy_this_Countr","manwha","Im Gonna Annihilate This Land","84","[084] [MW] Im Gonna Annihilate This Land [@Manhwa_Weebs].pdf","Success","",""
"A Dragonslayer's Peerless Regression","https://t.me/A_Dragonslayers_Peerless_Regress","manwha","A Dragonslayers Peerless Regre","93","[093] [MW] A Dragonslayers Peerless Regre [@Manhwa_Weebs].pdf","Success","",""
"Emperor of Solo Play","https://t.me/Emperor_of_solo_play","manwha","Emperor of Solo Play","75","[075] [MW] Emperor of Solo Play [@Manhwa_Weebs].pdf","Success","",""
"Rebirth of the Divine Demon","https://t.me/Rebirth_of_the_Divine_Demon","manwha","Rebirth of the Divine Demon","51","[051] [MW] Rebirth of the Divine Demon [@Manhwa_Weebs].pdf","Success","",""
"Swordmaster's Youngest Son","https://t.me/Swordmaster_s_Youngest_So","manwha","Swordmaster's Youngest Son","201","[201] Swordmaster's Youngest Son @ManhwaXGarden.pdf","Success","",""
"Tyrant Of the Tower Defense Game","https://t.me/Tyrant_Of_the_Tower_Defense","manwha","Tyrant of the Tower Defense Game","189","[189] Tyrant of the Tower Defense Game @ManhwaXGarden.pdf","Success","",""
"I Became a Hatchling | One Day, I Became a Hatchling","","manwha","","16","","Missing Link","",""
"The Ultimate of All Ages | The Eternal Supreme | The Ancient Sovereign of Eternity","https://t.me/The_Ultimate_of_All_Age","manwha","The Ultimate of All Ages","546","[546] The Ultimate of All Ages @ManhwaXGarden.pdf","Success","",""
"The Regressed Son Of A Duke Is An Assassin","https://t.me/The_Regressed_Son_Of_A_Duke_Is_A","manwha","Regressed Son Of a Duke","135","[135] Regressed Son Of a Duke @ManhwaXGarden.pdf","Success","",""
"Star-Embracing Swordmaster","https://t.me/Star_Embracing_Swordmast","manwha","Star-Embracing Swordmaster","128","[128] Star-Embracing Swordmaster @ManhwaXGarden.pdf","Success","",""
"Raising Villains the Right Way","https://t.me/Raising_Villains_the_Right_Wa","manwha","Raising Villains the Right Way","43","[043] Raising Villains the Right Way @ManhwaXGarden.pdf","Success","",""
"The Extra's Academy Survival Guide","https://t.me/The_Extra_s_Academy_Survival_Gui","manwha","Extra's Academy Survival Guide","114","[114] Extra's Academy Survival Guide @ManhwaXGarden.pdf","Success","",""
"Return of the Disaster-Class Hero","https://t.me/Return_of_the_Disaster_Class_He","manwha","Return of the Disaster-Class Hero","181","[181] Return of the Disaster-Class Hero @ManhwaXGarden.pdf","Success","",""
"Nano Machine","https://t.me/Nano_Machin","manwha","Nano Machine","320","[320] Nano Machine @ManhwaXGarden.pdf","Success","",""
"Overgeared MANHWA","https://t.me/Manhwa_Overgeared_1","manwha","Overgeared","330","[330] Overgeared @ManhwaXGarden.pdf","Success","",""
"God-Level Assassin, I’m The Shadow","https://t.me/Manhwa_join_now","manwha","God-level Assassin, I’m the Sh","116","[MC] [116] God-level Assassin, I’m the Sh @ManhwaXclubb.pdf","Success","",""
"Revenge of the Iron-Blooded Sword Hound","https://t.me/Revenge_of_the_Iron_Blooded_Sw","manwha","Revenge of the Iron-Blooded Hound","171","[171] Revenge of the Iron-Blooded Hound @ManhwaXGarden.pdf","Success","",""
"Chronicles of the Lazy Sovereign","https://t.me/Chronicles_of_the_Lazy_Soverei","manwha","Chronicles of the Lazy Sovereign","55","[055] Chronicles of the Lazy Sovereign @ManhwaXGarden.pdf","Success","",""
"Magic Emperor","https://t.me/Demonic_Magic_Empero","manwha","Magic Emperor","881","[881] Magic Emperor @ManhwaXGarden.pdf","Success","",""
"Logging 10,000 Years Into the Future","https://t.me/Logging_10000_Years_Into_the_Fu","manwha","Logging 10,000 Years into Future","336","[336] Logging 10,000 Years into Future @ManhwaXGarden.pdf","Success","",""
"Reincarnation of the Fist King","https://t.me/Reincarnation_of_the_Fist_King","manwha","Reincarnation of the Fist King","60","[060] Reincarnation of the Fist King @ManhwaXGarden.pdf","Success","",""
"The Divine Demon’s Grand Ascension","https://t.me/The_Divine_Demons_Grand_Ascens","manwha","The Divine Demon’s Grand Ascension","56","[056] The Divine Demon’s Grand Ascension @ManhwaXGarden.pdf","Success","",""
"Academy’s Genius Swordmaster","https://t.me/Academy_s_Genius_Swordmaster","manwha","Academys Genius Swordmaster","145","[145] Academys Genius Swordmaster @ManhwaXGarden.pdf","Success","",""
"Dungeon Odyssey","https://t.me/Dungeon_Odyssey_1","manwha","Dungeon Odyssey","160","[160] Dungeon Odyssey @ManhwaXGarden.pdf","Success","",""
"Regressor Of the Fallen Family","https://t.me/Regressor_Of_the_Fallen_Family","manwha","Regressor of the Fallen family","142","[142] Regressor of the Fallen family @ManhwaXGarden.pdf","Success","",""
"Top-tier Providence","https://t.me/Top_tier_Providenc","manwha","Top Tier Providence","269","[269] Top Tier Providence @ManhwaXGarden.pdf","Success","",""
"Reformation Of the Deadbeat Noble","https://t.me/Reformation_Of_the_Deadbeat_N","manwha","Reformation Of the Noble","150","[150] Reformation Of the Noble @ManhwaXGarden.pdf","Success","",""
"Rebirth of the Thief Who Roamed The World","","manwha","","27","","Missing Link","",""
"Standard Of Reincarnation","https://t.me/standard_of_reincarnation","manwha","Standard of Reincarnation","189","[189] Standard of Reincarnation @ManhwaXGarden.pdf","Success","",""
"Heavenly Demon Cultivation Simulation","https://t.me/Heavenly_Demon_Cultivation_Simu","manwha","Heavenly Demonic Simulation","189","[189] Heavenly Demonic Simulation @ManhwaXGarden.pdf","Success","",""
"Trash of the Count's Family | Lout of Count’s Family","https://t.me/Trash_of_the_Count_s_Family_Lout","manwha","Trash of the Count's Family","181","[181] Trash of the Count's Family @ManhwaXGarden.pdf","Success","",""
"A Villain's Will to Survive","https://t.me/A_Villain_s_Will_to_Survive","manwha","A Villains Will to Survive","59","[059] A Villains Will to Survive @ManhwaXGarden.pdf","Success","",""
"Sword of the Undying | The Necromancer of a Renowned Sword Family | The Necromancer of a Noble Sword Family","","manwha","","17","","Missing Link","",""
"Solo Farming In The Tower","https://t.me/Solo_Farming_In_The_Tower_Manhwa","manwha","Solo Farming In The Tower","134","[134] Solo Farming In The Tower @ManhwaXGarden.pdf","Success","",""
"One Piece Manga","https://t.me/One_Piece_Mang","manwha","One Piece","1188","[1188] One Piece @Manga_Horizon.pdf","Success","",""
"What a Bountiful Harvest, Demon Lord!","https://t.me/What_a_Bountiful_Harvest_Demon","manwha","What a Bountiful Harvest, Demon Lord","75","[075] What a Bountiful Harvest, Demon Lord @ManhwaXGarden.pdf","Success","",""
"Solo Max-level Newbie","https://t.me/Solo_Max_Level_Newbie_Manhw","manwha","Solo Max-Level Newbie","267","[267] Solo Max-Level Newbie @ManhwaXGarden.pdf","Success","",""
"The Demon King Overrun by Heroes","https://t.me/The_Demon_King_Overrun_by_Heroe","manwha","The Demon King Overrun by Heroes","38","[038] The Demon King Overrun by Heroes @ManhwaXGarden.pdf","Success","",""
"Terminally Ill Genius Dark Knight","https://t.me/Terminally_Ill_Genius_Dark_Knigh","manwha","Terminally-Ill Genius Dark Knight","156","[156] Terminally-Ill Genius Dark Knight @ManhwaXGarden.pdf","Success","",""
"I Killed An Academy Player","https://t.me/I_Killed_An_Academy_Playe","manwha","I Killed an Academy Player","132","[132] I Killed an Academy Player @ManhwaXGarden.pdf","Success","",""
"Tomb Raider King — End Line","https://t.me/Tomb_Raider_King_End_Line","manwha","Tomb Raider King — End Line","15","[015] Tomb Raider King — End Line @Manga_Campus.pdf","Success","",""
"The Beginning After The End","https://t.me/beginning_after_the_end_tbate","manwha","The Beginning After the End","243","[243] The Beginning After the End @ManhwaXGarden.pdf","Success","",""
"Lookism","https://t.me/Manhwa_Garden_Lookism","manwha","Lookism","615","[615] Lookism @ManhwaXGarden.pdf","Success","",""
"The Dark Magician Transmigrates After 66666 Years","https://t.me/The_Dark_Magician_Transmigrat","manwha","The Dark Magician Transmigrates","190","[190] The Dark Magician Transmigrates @ManhwaXGarden.pdf","Success","",""
"Conquering the Academy with Just a Sashimi Knife","https://t.me/The_Academys_Sashimi_Sword_maste","manwha","Conquering Academy with Sashimi Knife","86","[086] Conquering Academy with Sashimi Knife @ManhwaXGarden.pdf","Success","",""
"Villain To Kill","https://t.me/Villain_To_Kil","manwha","Villain To Kill","243","[243] Villain To Kill @ManhwaXGarden.pdf","Success","",""
"Reality Quest","https://t.me/IRL_Reality_Quest","manwha","Reality Quest","213","[213] Reality Quest @ManhwaXGarden.pdf","Success","",""
"The Return of the Unrivaled Genius Ranker","","manwha","","32","","Missing Link","",""
"Dukedom’s Legendary Prodigy","https://t.me/Dukedoms_Legendary_Prodigy_1","manwha","Dukedom's Legendary Prodigy","55","[055] Dukedom's Legendary Prodigy @ManhwaXGarden.pdf","Success","",""
"Return of the Apocalypse-Class Death Knight","","manwha","","78","","Missing Link","",""
"The Nebula's Civilization","https://t.me/The_Nebula_s_Civilization","manwha","The Nebula's Civilization","137","[137] The Nebula's Civilization @ManhwaXGarden.pdf","Success","",""
"The Knight King Who Returned with a God","https://t.me/The_Knight_King_Who_Returned_wit","manwha","Knight King Who Return with God","172","[172] Knight King Who Return with God @ManhwaXGarden.pdf","Success","",""
"I Became the First Prince: Legend of Sword's Song","https://t.me/I_Became_the_First_Prince_Legen","manwha","I Became the First Prince","43","[043] I Became the First Prince @ManhwaXGarden.pdf","Success","",""
"The Sand Mage of the Scorched Desert | Sandmancer of the Scorched Desert","https://t.me/The_Sand_Mage_of_the_Scorched_D","manwha","The Sand Mage of the Scorched Desert","26","[026] The Sand Mage of the Scorched Desert @ManhwaXGarden.pdf","Success","",""
"Return Of The Mount Hua Sect","https://t.me/Return_Of_The_Mount_Hua_Se","manwha","Return of the Mount Hua Sect","170","[170] Return of the Mount Hua Sect @ManhwaXGarden.pdf","Success","",""
"The World After The End","https://t.me/World_After_the_En","manwha","The World After The End","242","[242] The World After The End @ManhwaXGarden.pdf","Success","",""
"Shangri La Frontier Manga","https://t.me/Shangri_La_Frontier_Mangaa","manwha","Shangri La Frontier","272","[272] Shangri La Frontier @Manga_Horizon.pdf","Success","",""
"Regressing As the Reincarnated Bastard Of the Sword Clan","https://t.me/Regressing_as_the_Reincarnated_B","manwha","Regressing as the Reincarnated Bastard","102","[102] Regressing as the Reincarnated Bastard @ManhwaXGarden.pdf","Success","",""
"Infinite Mage","https://t.me/Mage_Infinite","manwha","Infinite Mage","176","[176] Infinite Mage @ManhwaXGarden.pdf","Success","",""
"The Shepherd Wizard","https://t.me/The_Shepherd_Wizar","manwha","The Shepherd Wizard","27","[027] The Shepherd Wizard @ManhwaXGarden.pdf","Success","",""
"Eleceed","https://t.me/Manhwa_Eleceed_1","manwha","Eleceed","408.5","[408.5] Eleceed @ManhwaXGarden.pdf","Success","",""
"Martial Evolution","https://t.me/Martial_Evolution_manhua","manwha","Martial Evolution Start by Awa","137","[137] [MW] Martial Evolution Start by Awa [@Manhwa_Weebs].pdf","Success","",""
"I Obtained a Mythic Item","https://t.me/i_obtained_a_mythic_item_1","manwha","I Obtained a Mythic Item","187","[187] I Obtained a Mythic Item @ManhwaXGarden.pdf","Success","",""
"Genius Blacksmith�s Game","","manwha","","61","","Resolved from saved messages","3126046148","saved-message"
"The Evil God Descends, I Own Great Hell","https://t.me/The_Evil_God_Descends_I_Own","manwha","122- The Evil God Descends, I Own G","122","122- The Evil God Descends, I Own G @Manhwa_Worlds.pdf","Success","",""
"Regressing With the King's Power","https://t.me/Regressing_with_the_king_s_power","manwha","Regressing with the King’s Power","150","[150] Regressing with the King’s Power @ManhwaXGarden.pdf","Success","",""
"Return of the Mad Demon | Return of the Crazy Demon","https://t.me/Return_of_the_Mad_Demon_Crazy","manwha","The Return of the Crazy Demon","203","[203] The Return of the Crazy Demon @ManhwaXGarden.pdf","Success","",""
"Chronicles of the Demon Faction","https://t.me/Chronicles_of_the_Demon_Faction1","manwha","Chronicles of the Demon Faction","178","[178] Chronicles of the Demon Faction @ManhwaXGarden.pdf","Success","",""
"The Reincarnated Assassin is a Genius Swordsman","https://t.me/The_Reincarnated_Assassin_i","manwha","Assassin Is A Genius Swordsman","91","[091] Assassin Is A Genius Swordsman @ManhwaXGarden.pdf","Success","",""
"I, The Demon Lord am being targeted by my female Disciples!","https://t.me/I_The_Demon_Lord_am_being_target","manwha","131- I, The Demon Lord am being tar","131","131- I, The Demon Lord am being tar @Manhwa_Worlds.pdf","Success","",""
"The Max-Level Player's 100th Regression","https://t.me/the_max_level_player_s_100th_reg","manwha","Max-Level Player's Regression","89","[089] Max-Level Player's Regression @ManhwaXGarden.pdf","Success","",""
"The Max Level Hero has Returned","https://t.me/The_Max_Level_Hero_has_Returne","manwha","The Max Level Hero has Returned","238","[238] The Max Level Hero has Returned @ManhwaXGarden.pdf","Success","",""
"Return of the SSS-Class Ranker","https://t.me/Return_of_the_SSS_Class_Ranker_1","manwha","Return of the SSS-Class Ranker","198","[198] Return of the SSS-Class Ranker @ManhwaXGarden.pdf","Success","",""
"Superhuman Era Manhwa","https://t.me/The_Superhuman_Era","manwha","Superhuman Era","239","[239] Superhuman Era @ManhwaXGarden.pdf","Success","",""
"The Legendary Hero is an Academy Honors Student","https://t.me/The_Legendary_Hero_is_an_Academy","manwha","The Legendary Hero is an Academy Honors Student","92","[092] The Legendary Hero is an Academy Honors Student @Man.pdf","Success","",""
"Level 999 Goblin","https://t.me/Level_999_Gobliin","manwha","Level 999 Goblin","60","[060] Level 999 Goblin @Manga_Campus.pdf","Success","",""
"The Player Hides His Past","https://t.me/The_Player_Hides_His_Pas","manwha","The Player Hides His Past","126","[126] The Player Hides His Past @ManhwaXGarden.pdf","Success","",""
"Talent-Swallowing Magician","","manwha","","148","","Resolved from saved messages","2207804568","saved-message"
"Mr Devourer, Please Act Like A Final Boss | The Unbeatable Dungeon's Lazy Boss Monster","https://t.me/Mr_Devourer_Please_Act_Like_a_F","manwha","Dungeon's Lazy Boss Monster","131","[131] Dungeon's Lazy Boss Monster @ManhwaXGarden.pdf","Success","",""
"Latna Saga: Survival of a Sword King","https://t.me/Latna_Saga_Survival_of_a_Swor","manwha","Latna Saga: Survival of a Sword King","293","[293] Latna Saga: Survival of a Sword King @ManhwaXGarden.pdf","Success","",""
"My Vampire System | Extraordinary World？! Me… A Vampire？! | Extraordinary World | Extraordinary World! I, a Vampire....","https://t.me/Vampire_System_Extraordinary_Wo","manwha","Extraordinary World","43","[043] Extraordinary World @Manga_Campus.pdf","Success","",""
"Reborn As The Enemy Prince","https://t.me/Reborn_As_The_Enemy_Prin","manwha","Reborn as the Enemy Prince","115","[115] Reborn as the Enemy Prince @ManhwaXGarden.pdf","Success","",""
"The Crown Prince that Sells Medicine","","manwha","","113","","Resolved from saved messages","2142818541","saved-message"
"Second Life Ranker","https://t.me/Second_Life_Ranke","manwha","Second Life Ranker","226","[226] Second Life Ranker @ManhwaXGarden.pdf","Success","",""
"Magic Academy's Genius Blinker","https://t.me/Magic_Academys_Genius_Blinker","manwha","Magic Academys Genius Blinker","100","[100] Magic Academys Genius Blinker @ManhwaXGarden.pdf","Success","",""
"Wistoria: Wand And Sword Manga","https://t.me/Manga_Wistoria_Wand_and_Sword","manwha","Wistoria","65","[065] Wistoria @Manga_Horizon.pdf","Success","",""
"Shut Up, Evil Dragon! I Don't Want to Raise a Child With You Anymore","","manwha","","96","","Missing Link","",""
"Godeokchun's Food Truck Manhwa","https://t.me/Godeokchuns_Food_Truck_Manhwa","manwha","Go Deok Chuns Food Truck","35","[ Ch 35 ] Go Deok Chuns Food Truck.pdf","Success","",""
"Infinite Level Up In Murim","https://t.me/Infinite_Level_Up_In_Murim","manwha","Infinite Level Up in Murim","260","[260] Infinite Level Up in Murim @ManhwaXGarden.pdf","Success","",""
"Heavenly Grand Archive's Young Master","","manwha","","182","","Resolved from saved messages","2129851893","saved-message"
"Return of The Unrivaled Spear Knight","https://t.me/Return_of_The_Unrivaled_Spear_Kn","manwha","Return of The Unrivaled Spear Knight","189","[189] Return of The Unrivaled Spear Knight @ManhwaXGarden.pdf","Success","",""
"Reincarnation of the Suicidal Battle God | Doom Breaker","https://t.me/Reincarnation_of_the_Suicidal_B","manwha","Reincarnation of Suicidal Battle God","101.1","[101.1] Reincarnation of Suicidal Battle God @ManhwaXGarden.pdf","Success","",""
"Bones Manhwa","https://t.me/Manhwa_Bones","manwha","Bones","30","[030] Bones @Manhwa_Garden.pdf","Success","",""
"The Greatest Estate Developer","https://t.me/The_Greatest_Estate_Develop","manwha","The Greatest Estate Developer","223","[223] The Greatest Estate Developer @ManhwaXGarden.pdf","Success","",""
"Heavenly Inquisition Sword","https://t.me/Heavenly_Inquisition_Sword","manwha","Heavenly Inquisition Sword","153","[153] Heavenly Inquisition Sword @ManhwaXGarden.pdf","Success","",""
"Regression of the Yong Clan Heir","https://t.me/Regression_of_the_Yong_Clan_Heir","manwha","Regression of the Yong Clan Heir","55","[055] Regression of the Yong Clan Heir @ManhwaXGarden.pdf","Success","",""
"Your Talent is Mine","https://t.me/Your_Talent_is_Mine_1","manwha","Your Talent is Mine","106","[106] Your Talent is Mine @ManhwaXGarden.pdf","Success","",""
"Solo Leveling Ragnarok | Manhwa","https://t.me/Solo_Leveling_Ragnar","manwha","Solo Leveling Ragnarok","68","[068] Solo Leveling Ragnarok @ManhwaXGarden.pdf","Success","",""
"The Beginning After The End","https://t.me/beginning_after_the_end_tbate","manwha","","243","","Resolved from saved messages","1512749523","saved-message"
"Omniscient Reader's Viewpoint","https://t.me/Omniscient_Reader_s_Viewpoin","manwha","Omniscient Reader’s Viewpoint","311","[311] Omniscient Reader’s Viewpoint @ManhwaXGarden.pdf","Success","",""
"Evolution Begins With a Big Tree","https://t.me/Evolution_Begins_With_a_Big_Tr","manwha","Evolution Begins With A Big Tree","516","[516] Evolution Begins With A Big Tree @ManhwaXGarden.pdf","Success","",""
